split,domain,question_type,policy_id,raw_quality,utility,budget,latency,api_calls
confirmatory_test,finance,aggregation,greedy_regression_aware_search,0.8023538961038961,0.7928505678063296,0.95,3.3282975666224957,1.0
confirmatory_test,finance,aggregation,top_k_low,0.8023538961038961,0.7938505662331394,0.85,3.329870756715536,1.0
confirmatory_test,finance,comparison,greedy_regression_aware_search,0.8035742902930403,0.7940707738285462,0.95,3.5164644941687584,1.0
confirmatory_test,finance,comparison,top_k_low,0.8035742902930403,0.7950707337545507,0.85,3.5565384896472096,1.0
confirmatory_test,finance,false_premise,greedy_regression_aware_search,0.75,0.7404966035801918,0.9499999999999998,3.396419808268547,1.0
confirmatory_test,finance,false_premise,top_k_low,0.75,0.7414965659963588,0.85,3.434003641208013,1.0
confirmatory_test,finance,multi-hop,greedy_regression_aware_search,0.6770833333333334,0.6675809431824212,0.9499999999999998,2.390150912106037,1.0
confirmatory_test,finance,multi-hop,top_k_low,0.6770833333333334,0.6685809482230495,0.85,2.38511028389136,1.0
confirmatory_test,finance,post-processing,greedy_regression_aware_search,0.7716086434573829,0.7621051875702335,0.95,3.4558871494872228,1.0
confirmatory_test,finance,post-processing,top_k_low,0.7716086434573829,0.7631051095364445,0.85,3.5339209384151866,1.0
confirmatory_test,finance,set,greedy_regression_aware_search,0.7638888888888888,0.7543861676947111,0.9499999999999998,2.721194177865982,1.0
confirmatory_test,finance,set,top_k_low,0.7638888888888888,0.7553860424762178,0.85,2.8464126711090407,1.0
confirmatory_test,finance,simple,greedy_regression_aware_search,0.7831507936507937,0.7736477603639763,0.95,3.0332868173718452,1.0
confirmatory_test,finance,simple,top_k_low,0.7831507936507937,0.7746477241873098,0.85,3.0694634839892387,1.0
confirmatory_test,finance,simple_w_condition,greedy_regression_aware_search,0.8098639105992047,0.8003605660657876,0.95,3.3445334171547607,1.0
confirmatory_test,finance,simple_w_condition,top_k_low,0.8098639105992047,0.80136051353903,0.85,3.3970601747141167,1.0
